755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000	755000
505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000	505000
455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000	455000
355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000	355000
305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000	305000
255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000	255000
230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000	230000
210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000	210000
200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000
180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000	180000
140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000	140000
120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
90000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000
70000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000
50000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000
40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000
20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000
7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000
4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000
2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250
150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
