650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000	650000
480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000	480000
420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000	420000
325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000	325000
290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000	290000
245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000	245000
195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000	195000
165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000	165000
145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000	145000
125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000	125000
80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000
60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000
55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000	55000
35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000	35000
25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000
8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000
6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000
3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000
1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050
820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820	820
700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700
450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450
250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250
150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150
75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75
55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
