750000	750000	750000	750000	750000	750000	750000	750000	750000	755000	750000	750000	750000	750000	750000	750000	750000	750000	750000	750000
500000	500000	500000	500000	500000	500000	500000	500000	500000	505000	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000
450000	450000	450000	450000	450000	450000	450000	450000	450000	455000	450000	450000	450000	450000	450000	450000	450000	450000	450000	450000
350000	350000	350000	350000	350000	350000	350000	350000	350000	355000	350000	350000	350000	350000	350000	350000	350000	350000	350000	350000
300000	300000	300000	300000	300000	300000	300000	300000	300000	305000	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000
250000	250000	250000	250000	250000	250000	250000	250000	250000	255000	250000	250000	250000	250000	250000	250000	250000	250000	250000	250000
200000	200000	200000	200000	200000	200000	200000	200000	200000	205000	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000
175000	175000	175000	175000	175000	175000	175000	175000	175000	180000	175000	175000	175000	175000	175000	175000	175000	175000	175000	175000
150000	150000	150000	150000	150000	150000	150000	150000	150000	140000	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000
130000	130000	130000	130000	130000	130000	130000	130000	130000	120000	130000	130000	130000	130000	130000	130000	130000	130000	130000	130000
85000	85000	85000	85000	85000	85000	85000	85000	85000	90000	85000	85000	85000	85000	85000	85000	85000	85000	85000	85000
65000	65000	65000	65000	65000	65000	65000	65000	65000	70000	65000	65000	65000	65000	65000	65000	65000	65000	65000	65000
50000	50000	50000	50000	50000	50000	50000	50000	50000	40000	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000
25000	25000	25000	25000	25000	25000	25000	25000	25000	20000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
10000	10000	10000	10000	10000	10000	10000	10000	10000	9000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
6500	6500	6500	6500	6500	6500	6500	6500	6500	7000	6500	6500	6500	6500	6500	6500	6500	6500	6500	6500
3500	3500	3500	3500	3500	3500	3500	3500	3500	4000	3500	3500	3500	3500	3500	3500	3500	3500	3500	3500
1500	1500	1500	1500	1500	1500	1500	1500	1500	2000	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
800	800	800	800	800	800	800	800	800	900	800	800	800	800	800	800	800	800	800	800
600	600	600	600	600	600	600	600	600	400	600	600	600	600	600	600	600	600	600	600
500	500	500	500	500	500	500	500	500	200	500	500	500	500	500	500	500	500	500	500
300	300	300	300	300	300	300	300	300	40	300	300	300	300	300	300	300	300	300	300
100	100	100	100	100	100	100	100	100	20	100	100	100	100	100	100	100	100	100	100
80	80	80	80	80	80	80	80	80	70	80	80	80	80	80	80	80	80	80	80
50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
30	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
